project	sample	experiment	run	reads_downloaded	paired_end	sra_misreported_paired_end	mapped_read_count	tissue	sharq_beta_cell_type	avg_read_length	characteristics	dataset
SRP000941	SRS004213	SRX398167	SRR1057684	18393212	FALSE	FALSE	13612974	stem_cell	h1	100	NA	SRP000941_stem_cell
SRP000941	SRS004214	SRX007167	SRR020292	5116956	FALSE	FALSE	4613247	lung	imr90	43	NA	SRP000941_lung
SRP000941	SRS004214	SRX007167	SRR020293	9834009	FALSE	FALSE	9266635	lung	imr90	87	NA	SRP000941_lung
SRP000941	SRS004214	SRX007167	SRR020294	9974461	FALSE	FALSE	9407358	lung	imr90	87	NA	SRP000941_lung
SRP000941	SRS004214	SRX007167	SRR020295	9936517	FALSE	FALSE	9374447	lung	imr90	87	NA	SRP000941_lung
SRP000941	SRS172880	SRX398168	SRR1057689	19051001	FALSE	FALSE	14809812	stem_cell	h1	100	NA	SRP000941_stem_cell
SRP000941	SRS172881	SRX398169	SRR1057690	19656048	FALSE	FALSE	15864591	stem_cell	h1	100	NA	SRP000941_stem_cell
SRP000941	SRS306613	SRX190110	SRR578627	55270032	TRUE	FALSE	55130492	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306613	SRX190110	SRR578628	55131756	TRUE	FALSE	54974146	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306613	SRX190110	SRR578629	49880768	TRUE	FALSE	49755857	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306613	SRX190110	SRR578630	45857038	TRUE	FALSE	45720747	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306614	SRX190124	SRR596098	48569342	TRUE	FALSE	46097184	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR596099	48674650	TRUE	FALSE	46183738	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR596100	44003540	TRUE	FALSE	41770114	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR596101	40546092	TRUE	FALSE	38480268	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR651683	43569058	TRUE	FALSE	41179260	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR651684	46500748	TRUE	FALSE	43919830	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR651685	42675386	TRUE	FALSE	40492941	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306614	SRX190124	SRR651686	24618412	TRUE	FALSE	23231650	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR596102	53242768	TRUE	FALSE	53061850	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR596103	53282218	TRUE	FALSE	53084381	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR596104	48225458	TRUE	FALSE	48067023	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR596105	44406168	TRUE	FALSE	44237879	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR651687	54165050	TRUE	FALSE	53712192	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR651688	52812634	TRUE	FALSE	52382274	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306616	SRX190128	SRR651689	18420340	TRUE	FALSE	18356080	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306619	SRX190136	SRR577587	58202730	TRUE	FALSE	57945295	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306619	SRX190136	SRR577588	58351394	TRUE	FALSE	58105133	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306619	SRX190136	SRR577589	54806090	TRUE	FALSE	54559163	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306619	SRX190136	SRR577590	51846470	TRUE	FALSE	51611926	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS306621	SRX190140	SRR651699	68932928	TRUE	FALSE	68215727	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306621	SRX190140	SRR651700	132308740	TRUE	FALSE	130982849	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306621	SRX190140	SRR651701	133121312	TRUE	FALSE	131991477	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306621	SRX190140	SRR651702	132731594	TRUE	FALSE	131420676	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306621	SRX190140	SRR651703	133233268	TRUE	FALSE	132046003	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306621	SRX190140	SRR651704	130106924	TRUE	FALSE	128175936	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS306622	SRX190142	SRR578651	54005946	TRUE	FALSE	53803836	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR578652	54216332	TRUE	FALSE	54023192	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR578653	51069268	TRUE	FALSE	50874472	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR578654	48419098	TRUE	FALSE	48234430	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR651705	52377184	TRUE	FALSE	52014809	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR651706	55096354	TRUE	FALSE	54726584	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR651707	5917604	TRUE	FALSE	5899931	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306622	SRX190142	SRR651708	26422204	TRUE	FALSE	26192393	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS306623	SRX263870	SRR1045618	10889128	TRUE	FALSE	10840127	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1045619	18786698	TRUE	FALSE	18695459	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1045620	18896098	TRUE	FALSE	18790791	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1045621	18809862	TRUE	FALSE	18707838	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220501	19229482	TRUE	FALSE	18789167	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220502	19300260	TRUE	FALSE	18851716	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220503	19088904	TRUE	FALSE	18600718	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220504	19173430	TRUE	FALSE	18745926	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220505	19261082	TRUE	FALSE	18822556	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220506	19223220	TRUE	FALSE	18780796	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220507	19328564	TRUE	FALSE	18886741	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306623	SRX263870	SRR1220508	19408090	TRUE	FALSE	18968100	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS306624	SRX190146	SRR577595	55029344	TRUE	FALSE	54467773	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS306624	SRX190146	SRR577596	55182784	TRUE	FALSE	54627362	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS306624	SRX190146	SRR577597	51878660	TRUE	FALSE	51344345	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS306624	SRX190146	SRR577598	49167220	TRUE	FALSE	48657641	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS308395	SRX190112	SRR578631	55744286	TRUE	FALSE	55588243	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR578632	55727810	TRUE	FALSE	55553712	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR578633	50415094	TRUE	FALSE	50275093	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR578634	46335954	TRUE	FALSE	46184880	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR651665	58085304	TRUE	FALSE	57644317	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR651666	58469004	TRUE	FALSE	58040202	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR651667	4340058	TRUE	FALSE	4327718	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308395	SRX190112	SRR651668	30644414	TRUE	FALSE	30379735	intestine	ips	200	NA	SRP000941_intestine
SRP000941	SRS308396	SRX190118	SRR577579	57292794	TRUE	FALSE	57108523	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS308396	SRX190118	SRR577580	57385874	TRUE	FALSE	57183782	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS308396	SRX190118	SRR577581	51826494	TRUE	FALSE	51661805	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS308396	SRX190118	SRR577582	47646902	TRUE	FALSE	47473563	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS308397	SRX190132	SRR577583	55270142	TRUE	FALSE	54925306	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS308397	SRX190132	SRR577584	55458720	TRUE	FALSE	55131939	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS308397	SRX190132	SRR577585	52125350	TRUE	FALSE	51809438	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS308397	SRX190132	SRR577586	49362314	TRUE	FALSE	49057507	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS308398	SRX190144	SRR577591	57635434	TRUE	FALSE	57350689	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS308398	SRX190144	SRR577592	57772776	TRUE	FALSE	57500247	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS308398	SRX190144	SRR577593	54445320	TRUE	FALSE	54174058	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS308398	SRX190144	SRR577594	51594226	TRUE	FALSE	51332363	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS309358	SRX190114	SRR578635	51376118	TRUE	FALSE	51104591	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR578636	51323484	TRUE	FALSE	51036912	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR578637	46461822	TRUE	FALSE	46217465	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR578638	42703730	TRUE	FALSE	42459175	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR651669	52960748	TRUE	FALSE	52425630	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR651670	50841916	TRUE	FALSE	50343792	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR651671	27345254	TRUE	FALSE	27186339	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309358	SRX190114	SRR651672	25745478	TRUE	FALSE	25443334	colon	ips	200	NA	SRP000941_colon
SRP000941	SRS309359	SRX142107	SRR486237	348043646	TRUE	FALSE	344812178	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309360	SRX142108	SRR486238	402078284	TRUE	FALSE	398610905	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309361	SRX142109	SRR486239	407690908	TRUE	FALSE	404633072	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309362	SRX142110	SRR486240	412385932	TRUE	FALSE	408601512	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309363	SRX142111	SRR488136	401094690	TRUE	FALSE	396860858	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309364	SRX142112	SRR488137	422139672	TRUE	FALSE	417720613	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309365	SRX142113	SRR486241	412284342	TRUE	FALSE	410719807	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309366	SRX142114	SRR486242	419157790	TRUE	FALSE	417717064	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309367	SRX142115	SRR488684	404510480	TRUE	FALSE	402269280	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS309368	SRX142116	SRR488685	423612652	TRUE	FALSE	420628819	stem_cell	h1	202	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651673	78191110	TRUE	FALSE	77324063	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651674	151521548	TRUE	FALSE	149851897	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651675	152193424	TRUE	FALSE	150744535	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651676	151982706	TRUE	FALSE	150327748	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651677	152201920	TRUE	FALSE	150687926	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS348369	SRX190116	SRR651678	148872954	TRUE	FALSE	146497181	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1045526	11894860	TRUE	FALSE	11822972	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1045527	20585240	TRUE	FALSE	20454602	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1045528	20747408	TRUE	FALSE	20596622	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1045529	20652428	TRUE	FALSE	20505960	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220381	20572590	TRUE	FALSE	20079904	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220382	20631016	TRUE	FALSE	20128773	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220383	20416044	TRUE	FALSE	19872743	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220384	20482568	TRUE	FALSE	20003739	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220385	20622570	TRUE	FALSE	20127517	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220386	20540452	TRUE	FALSE	20043500	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220387	20646352	TRUE	FALSE	20153659	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366509	SRX263862	SRR1220388	20794284	TRUE	FALSE	20300135	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366510	SRX263864	SRR1045530	21429854	TRUE	FALSE	21348729	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1045531	36560588	TRUE	FALSE	36412931	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1045532	36675402	TRUE	FALSE	36492436	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1045533	36422430	TRUE	FALSE	36253832	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220389	36807572	TRUE	FALSE	35954188	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220390	36918930	TRUE	FALSE	36039679	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220391	36606566	TRUE	FALSE	35652660	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220392	36672182	TRUE	FALSE	35832395	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220393	36996732	TRUE	FALSE	36131814	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220394	36786224	TRUE	FALSE	35917112	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220395	37004352	TRUE	FALSE	36136525	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366510	SRX263864	SRR1220396	37161396	TRUE	FALSE	36299614	lung	ips	200	NA	SRP000941_lung
SRP000941	SRS366511	SRX263866	SRR1045570	14137266	TRUE	FALSE	14071522	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1045571	24199778	TRUE	FALSE	24084792	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1045572	24380548	TRUE	FALSE	24241968	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1045573	24218430	TRUE	FALSE	24089012	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220397	24081288	TRUE	FALSE	23548050	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220398	24187924	TRUE	FALSE	23640026	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220399	23939900	TRUE	FALSE	23342008	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220400	23963848	TRUE	FALSE	23437817	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220401	24202982	TRUE	FALSE	23661089	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220402	24045114	TRUE	FALSE	23499069	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220403	24193350	TRUE	FALSE	23651360	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366511	SRX263866	SRR1220404	24358136	TRUE	FALSE	23816549	muscle	ips	200	NA	SRP000941_muscle
SRP000941	SRS366512	SRX263868	SRR1045574	24956296	TRUE	FALSE	24865331	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1045575	42970020	TRUE	FALSE	42797491	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1045576	43295750	TRUE	FALSE	43083005	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1045577	43075496	TRUE	FALSE	42878160	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220405	42187580	TRUE	FALSE	41249877	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220406	42339004	TRUE	FALSE	41371041	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220407	41925976	TRUE	FALSE	40872851	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220408	41961908	TRUE	FALSE	41037152	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220409	42334954	TRUE	FALSE	41383795	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220410	42094568	TRUE	FALSE	41136973	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220411	42371432	TRUE	FALSE	41414793	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366512	SRX263868	SRR1220412	42648208	TRUE	FALSE	41693724	heart	ips	200	NA	SRP000941_heart
SRP000941	SRS366514	SRX263858	SRR1054856	22085568	TRUE	FALSE	21821101	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1054857	37930826	TRUE	FALSE	37472147	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1054858	38322612	TRUE	FALSE	37821985	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1054859	38143940	TRUE	FALSE	37649185	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220429	38061068	TRUE	FALSE	36876475	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220430	38241124	TRUE	FALSE	37050253	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220431	37747242	TRUE	FALSE	36477580	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220432	37783444	TRUE	FALSE	36647769	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220433	38187646	TRUE	FALSE	37015244	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220434	37958354	TRUE	FALSE	36781973	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220435	38199550	TRUE	FALSE	37028962	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366514	SRX263858	SRR1220436	38501184	TRUE	FALSE	37319805	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1045586	21528016	TRUE	FALSE	21442541	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1045587	36862620	TRUE	FALSE	36703077	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1045588	37110526	TRUE	FALSE	36917312	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1045589	36913704	TRUE	FALSE	36734132	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220438	36678738	TRUE	FALSE	35748185	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220439	36327548	TRUE	FALSE	35322827	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220441	36706094	TRUE	FALSE	35792799	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220442	36504312	TRUE	FALSE	35581107	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220443	36723788	TRUE	FALSE	35809393	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366515	SRX263859	SRR1220444	36954768	TRUE	FALSE	36041299	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1045594	12233096	TRUE	FALSE	12121834	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1045595	21070094	TRUE	FALSE	20875675	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1045596	21308838	TRUE	FALSE	21091589	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1045597	21180686	TRUE	FALSE	20962041	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1220453	21310638	TRUE	FALSE	20731393	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1220454	21435658	TRUE	FALSE	20865644	stem_cell	ips	200	NA	SRP000941_stem_cell
SRP000941	SRS366516	SRX263863	SRR1220455	21144326	TRUE	FALSE	20521762	stem_cell	ips	200	NA	SRP000941_stem_cell
